book_delta│book_imbalance│mid_price│timestamp
-21500.0│0.501321183670813│88079500.0│2024-05-01 00:01:51.962049
21500.0│0.2113225478034377│88101000.0│2024-05-01 00:01:52.962049
-500.0│0.1944701401300356│88100500.0│2024-05-01 00:01:53.962050
0.0│0.19182916443024525│88100500.0│2024-05-01 00:01:54.962050
0.0│0.19182916443024525│88100500.0│2024-05-01 00:01:55.962051
-21000.0│0.14689727372823014│88079500.0│2024-05-01 00:01:56.962052
500.0│0.19146062392464766│88080000.0│2024-05-01 00:01:57.962053
-6000.0│0.18973724533939254│88074000.0│2024-05-01 00:01:58.962055
6000.0│0.17012676722311082│88080000.0│2024-05-01 00:01:59.962055
0.0│0.20431059914190533│88080000.0│2024-05-01 00:02:00.962055
0.0│0.20431059914190533│88080000.0│2024-05-01 00:02:01.962057
20500.0│0.1312320357122843│88100500.0│2024-05-01 00:02:02.962057
-500.0│0.08018329111495939│88100000.0│2024-05-01 00:02:03.962058
0.0│0.09278324817279456│88100000.0│2024-05-01 00:02:04.962059
-1000.0│0.1242658413302075│88099000.0│2024-05-01 00:02:05.962061
-24000.0│-0.07167667827639745│88075000.0│2024-05-01 00:02:06.962062
0.0│-0.3322414466227451│88075000.0│2024-05-01 00:02:07.962064
-500.0│-0.3744995388786621│88074500.0│2024-05-01 00:02:08.962064
0.0│-0.14579849422725757│88074500.0│2024-05-01 00:02:09.962064
0.0│-0.11514173886181683│88074500.0│2024-05-01 00:02:10.962065
0.0│-0.10042193992254073│88074500.0│2024-05-01 00:02:11.962066
-20000.0│-0.1383100838040322│88054500.0│2024-05-01 00:02:12.962066
0.0│-0.17718513657225674│88054500.0│2024-05-01 00:02:13.962066
19500.0│0.13370784699901792│88074000.0│2024-05-01 00:02:14.962067
0.0│0.13381501388057648│88074000.0│2024-05-01 00:02:15.962068
-500.0│0.10823940498975743│88073500.0│2024-05-01 00:02:16.962070
20000.0│0.054572648087268597│88093500.0│2024-05-01 00:02:17.962070
0.0│0.054572648087268597│88093500.0│2024-05-01 00:02:18.962070
0.0│-0.02478495074300317│88093500.0│2024-05-01 00:02:19.962071
500.0│0.45136955032919024│88094000.0│2024-05-01 00:02:20.962071
0.0│0.43320994664012236│88094000.0│2024-05-01 00:02:21.962072
0.0│0.4309404769827446│88094000.0│2024-05-01 00:02:22.962072
-20000.0│0.37343290493083153│88074000.0│2024-05-01 00:02:23.962074
0.0│0.37343290493083153│88074000.0│2024-05-01 00:02:24.962076
0.0│0.382962799662801│88074000.0│2024-05-01 00:02:25.962078
0.0│0.44602239372555486│88074000.0│2024-05-01 00:02:26.962078
0.0│0.44602239372555486│88074000.0│2024-05-01 00:02:27.962079
0.0│0.512250778027519│88074000.0│2024-05-01 00:02:28.962079
0.0│0.44751007845166857│88074000.0│2024-05-01 00:02:29.962080
0.0│0.43844451043734317│88074000.0│2024-05-01 00:02:30.962081
0.0│0.3582330184333375│88074000.0│2024-05-01 00:02:31.962081
0.0│0.4434664077087503│88074000.0│2024-05-01 00:02:32.962083
19500.0│0.39933747501953487│88093500.0│2024-05-01 00:02:33.962085
0.0│0.3717961829914927│88093500.0│2024-05-01 00:02:34.962086
0.0│0.0666625483266841│88093500.0│2024-05-01 00:02:35.962087
0.0│0.07587111793285924│88093500.0│2024-05-01 00:02:36.962088
0.0│0.2410309665454176│88093500.0│2024-05-01 00:02:37.962088
-20000.0│-0.00837997159727964│88073500.0│2024-05-01 00:02:38.962090
0.0│-0.07275434898675293│88073500.0│2024-05-01 00:02:39.962090
0.0│-0.07163100666856594│88073500.0│2024-05-01 00:02:40.962091
-1500.0│-0.6096907671031455│88072000.0│2024-05-01 00:02:41.962091
2000.0│-0.41971732885357965│88074000.0│2024-05-01 00:02:42.962091
0.0│-0.41515453764004473│88074000.0│2024-05-01 00:02:43.962091
0.0│-0.42141009831392856│88074000.0│2024-05-01 00:02:44.962091
0.0│-0.40566544803362437│88074000.0│2024-05-01 00:02:45.962091
0.0│-0.4059155231904522│88074000.0│2024-05-01 00:02:46.962092
0.0│-0.555777835774391│88074000.0│2024-05-01 00:02:47.962094
0.0│-0.555777835774391│88074000.0│2024-05-01 00:02:48.962096
0.0│-0.3613476924445132│88074000.0│2024-05-01 00:02:49.962097
500.0│-0.3353191338946126│88074500.0│2024-05-01 00:02:50.962098
-500.0│-0.2139370547191313│88074000.0│2024-05-01 00:02:51.962099
0.0│-0.09114909363609817│88074000.0│2024-05-01 00:02:52.962099
1000.0│0.01443149993426975│88075000.0│2024-05-01 00:02:53.962100
0.0│0.06511886836837874│88075000.0│2024-05-01 00:02:54.962102
0.0│0.047745582367482664│88075000.0│2024-05-01 00:02:55.962103
19000.0│0.17267150263061853│88094000.0│2024-05-01 00:02:56.962103
0.0│0.17267150263061853│88094000.0│2024-05-01 00:02:57.962103
0.0│0.1611997397834055│88094000.0│2024-05-01 00:02:58.962104
-500.0│0.1397742101370318│88093500.0│2024-05-01 00:02:59.962104
0.0│0.14869467015818139│88093500.0│2024-05-01 00:03:00.962105
0.0│0.14869467015818139│88093500.0│2024-05-01 00:03:01.962107
1000.0│0.1174279933638987│88094500.0│2024-05-01 00:03:02.962107
15000.0│0.5314618349129855│88109500.0│2024-05-01 00:03:03.962107
12500.0│0.6310054238145991│88122000.0│2024-05-01 00:03:04.962109
0.0│0.6310054238145991│88122000.0│2024-05-01 00:03:05.962110
0.0│0.6311351003272717│88122000.0│2024-05-01 00:03:06.962111
0.0│0.6311351003272717│88122000.0│2024-05-01 00:03:07.962111
17500.0│-0.011621842703796936│88139500.0│2024-05-01 00:03:08.962113
0.0│-0.011929114485842555│88139500.0│2024-05-01 00:03:09.962114
5000.0│-0.16408716695415437│88144500.0│2024-05-01 00:03:10.962114
9500.0│0.1305994890827981│88154000.0│2024-05-01 00:03:11.962115
0.0│0.5065173260327954│88154000.0│2024-05-01 00:03:12.962115
0.0│0.497920626998212│88154000.0│2024-05-01 00:03:13.962116
-11500.0│0.5016253366329717│88142500.0│2024-05-01 00:03:14.962118
21500.0│0.49893991860846504│88164000.0│2024-05-01 00:03:15.962120
0.0│0.5719193732844134│88164000.0│2024-05-01 00:03:16.962122
0.0│0.6019122203049798│88164000.0│2024-05-01 00:03:17.962122
0.0│0.6009798093775421│88164000.0│2024-05-01 00:03:18.962123
0.0│0.6009798093775421│88164000.0│2024-05-01 00:03:19.962125
500.0│0.5993224662675575│88164500.0│2024-05-01 00:03:20.962126
-8000.0│0.6064178048411455│88156500.0│2024-05-01 00:03:21.962127
7500.0│0.6256757034897067│88164000.0│2024-05-01 00:03:22.962127
7500.0│0.5894909987445979│88171500.0│2024-05-01 00:03:23.962128
0.0│0.5989490659155493│88171500.0│2024-05-01 00:03:24.962129
0.0│0.6011082291587959│88171500.0│2024-05-01 00:03:25.962129
0.0│0.5275689496868944│88171500.0│2024-05-01 00:03:26.962129
9000.0│-0.006502075146352309│88180500.0│2024-05-01 00:03:27.962131
10500.0│-0.057960863457074484│88191000.0│2024-05-01 00:03:28.962132
0.0│-0.12272819374389188│88191000.0│2024-05-01 00:03:29.962132
5500.0│-0.2643353716578387│88196500.0│2024-05-01 00:03:30.962133
0.0│-0.4171505754050945│88196500.0│2024-05-01 00:03:31.962134
0.0│-0.26719060094974095│88196500.0│2024-05-01 00:03:32.962134
0.0│-0.2668795737995315│88196500.0│2024-05-01 00:03:33.962135
0.0│-0.26196721082327457│88196500.0│2024-05-01 00:03:34.962135
0.0│-0.24923794085635773│88196500.0│2024-05-01 00:03:35.962135
0.0│-0.28789214655005696│88196500.0│2024-05-01 00:03:36.962136
500.0│-0.2908928984815325│88197000.0│2024-05-01 00:03:37.962137
0.0│-0.2773824347332237│88197000.0│2024-05-01 00:03:38.962139
0.0│-0.30138403287634885│88197000.0│2024-05-01 00:03:39.962140
0.0│-0.30138403287634885│88197000.0│2024-05-01 00:03:40.962140
0.0│-0.30138403287634885│88197000.0│2024-05-01 00:03:41.962142
0.0│-0.2705517470168896│88197000.0│2024-05-01 00:03:42.962143
0.0│-0.2705517470168896│88197000.0│2024-05-01 00:03:43.962144
-500.0│-0.2707060320232017│88196500.0│2024-05-01 00:03:44.962144
2500.0│-0.3101273240138519│88199000.0│2024-05-01 00:03:45.962146
0.0│-0.24006689089248398│88199000.0│2024-05-01 00:03:46.962147
-500.0│-0.24349049229080538│88198500.0│2024-05-01 00:03:47.962148
0.0│-0.2897820391958744│88198500.0│2024-05-01 00:03:48.962149
-7000.0│-0.2090443754167309│88191500.0│2024-05-01 00:03:49.962149
5500.0│-0.16897163028777967│88197000.0│2024-05-01 00:03:50.962149
0.0│0.0015135832117343661│88197000.0│2024-05-01 00:03:51.962150
0.0│-0.02781336757739518│88197000.0│2024-05-01 00:03:52.962151
2500.0│-0.10989851913036174│88199500.0│2024-05-01 00:03:53.962152
0.0│-0.10989851913036174│88199500.0│2024-05-01 00:03:54.962152
