price|quantity|type|timestamp
4742000|0.0539|1|2024-04-29 00:01:59
4743000|0.1022|1|2024-04-29 00:01:59
4744000|1.0009|1|2024-04-29 00:01:59
4737000|5.6683|0|2024-04-29 00:02:04
4736000|1.9927|0|2024-04-29 00:02:04
4735000|18.56|0|2024-04-29 00:02:04
4734000|1.0633|0|2024-04-29 00:02:04
4733000|1.4353|0|2024-04-29 00:02:04
4740000|7.3266|1|2024-04-29 00:02:04
4741000|0.001|1|2024-04-29 00:02:04
4742000|0.0539|1|2024-04-29 00:02:04
4743000|0.1022|1|2024-04-29 00:02:04
4744000|4.5609|1|2024-04-29 00:02:04
4739000|3.332|0|2024-04-29 00:02:08
4738000|5.1011|0|2024-04-29 00:02:08
4737000|18.56|0|2024-04-29 00:02:08
4736000|1.4506|0|2024-04-29 00:02:08
4735000|1.0|0|2024-04-29 00:02:08
4740000|2.6862|1|2024-04-29 00:02:08
4741000|0.001|1|2024-04-29 00:02:08
4742000|0.0539|1|2024-04-29 00:02:08
4744000|4.5609|1|2024-04-29 00:02:08
4745000|1.4818|1|2024-04-29 00:02:08
4740000|6.2198|0|2024-04-29 00:02:13
4739000|5.6573|0|2024-04-29 00:02:13
4738000|0.3354|0|2024-04-29 00:02:13
4737000|16.0|0|2024-04-29 00:02:13
4736000|1.0|0|2024-04-29 00:02:13
4741000|0.0023|1|2024-04-29 00:02:13
4742000|0.0094|1|2024-04-29 00:02:13
4744000|1.0009|1|2024-04-29 00:02:13
4745000|5.0398|1|2024-04-29 00:02:13
4746000|0.002|1|2024-04-29 00:02:13
4740000|7.5285|0|2024-04-29 00:02:18
4739000|1.0964|0|2024-04-29 00:02:18
4738000|0.645|0|2024-04-29 00:02:18
4737000|19.56|0|2024-04-29 00:02:18
4736000|1.0|0|2024-04-29 00:02:18
4741000|0.0|1|2024-04-29 00:02:18
4742000|0.0094|1|2024-04-29 00:02:18
4743000|0.001|1|2024-04-29 00:02:18
4744000|4.5609|1|2024-04-29 00:02:18
4745000|1.4798|1|2024-04-29 00:02:18
4741000|2.1083|0|2024-04-29 00:02:23
4740000|0.875|0|2024-04-29 00:02:23
4739000|2.4463|0|2024-04-29 00:02:23
4738000|3.56|0|2024-04-29 00:02:23
4737000|16.336|0|2024-04-29 00:02:23
4742000|0.0094|1|2024-04-29 00:02:23
4743000|3.561|1|2024-04-29 00:02:23
4744000|1.0009|1|2024-04-29 00:02:23
4745000|5.0398|1|2024-04-29 00:02:23
4746000|0.002|1|2024-04-29 00:02:23
4741000|1.7193|0|2024-04-29 00:02:28
4740000|0.875|0|2024-04-29 00:02:28
4739000|4.6564|0|2024-04-29 00:02:28
4738000|0.3356|0|2024-04-29 00:02:28
4737000|19.56|0|2024-04-29 00:02:28
4742000|0.0094|1|2024-04-29 00:02:28
4743000|0.001|1|2024-04-29 00:02:28
4744000|4.5609|1|2024-04-29 00:02:28
4745000|5.0398|1|2024-04-29 00:02:28
4746000|0.002|1|2024-04-29 00:02:28
4740000|2.9815|0|2024-04-29 00:02:33
4739000|5.0416|0|2024-04-29 00:02:33
4737000|18.8957|0|2024-04-29 00:02:33
4736000|6.33|0|2024-04-29 00:02:33
4735000|1.4232|0|2024-04-29 00:02:33
4741000|0.2001|1|2024-04-29 00:02:33
4742000|0.0094|1|2024-04-29 00:02:33
4743000|3.561|1|2024-04-29 00:02:33
4744000|1.0009|1|2024-04-29 00:02:33
4745000|5.0398|1|2024-04-29 00:02:33
4740000|0.875|0|2024-04-29 00:02:38
4739000|3.2029|0|2024-04-29 00:02:38
4738000|0.1206|0|2024-04-29 00:02:38
4737000|0.0504|0|2024-04-29 00:02:38
4736000|18.8955|0|2024-04-29 00:02:38
4741000|0.0053|1|2024-04-29 00:02:38
4742000|0.0094|1|2024-04-29 00:02:38
4743000|0.001|1|2024-04-29 00:02:38
4744000|18.5879|1|2024-04-29 00:02:38
4745000|4.4798|1|2024-04-29 00:02:38
4740000|0.875|0|2024-04-29 00:02:43
4739000|3.323|0|2024-04-29 00:02:43
4738000|0.0505|0|2024-04-29 00:02:43
4737000|0.3359|0|2024-04-29 00:02:43
4736000|15.0|0|2024-04-29 00:02:43
4741000|0.0053|1|2024-04-29 00:02:43
4742000|0.0094|1|2024-04-29 00:02:43
4743000|0.001|1|2024-04-29 00:02:43
4744000|1.0009|1|2024-04-29 00:02:43
4745000|9.4845|1|2024-04-29 00:02:43
4740000|3.1016|0|2024-04-29 00:02:48
4739000|16.0964|0|2024-04-29 00:02:48
4737000|0.3354|0|2024-04-29 00:02:48
4736000|1.0|0|2024-04-29 00:02:48
4735000|1.0046|0|2024-04-29 00:02:48
4741000|0.0|1|2024-04-29 00:02:48
4742000|0.0094|1|2024-04-29 00:02:48
4743000|0.001|1|2024-04-29 00:02:48
4744000|1.0009|1|2024-04-29 00:02:48
4745000|5.0398|1|2024-04-29 00:02:48
4740000|2.9811|0|2024-04-29 00:02:53
4739000|1.2169|0|2024-04-29 00:02:53
4738000|0.0583|0|2024-04-29 00:02:53
4737000|16.0|0|2024-04-29 00:02:53
4736000|1.336|0|2024-04-29 00:02:53
4741000|0.0|1|2024-04-29 00:02:53
4742000|0.0094|1|2024-04-29 00:02:53
4743000|0.001|1|2024-04-29 00:02:53
4744000|1.0009|1|2024-04-29 00:02:53
4745000|5.0398|1|2024-04-29 00:02:53
4740000|3.2781|0|2024-04-29 00:02:58
4739000|1.1539|0|2024-04-29 00:02:58
4738000|0.3357|0|2024-04-29 00:02:58
4737000|16.0|0|2024-04-29 00:02:58
4736000|1.0|0|2024-04-29 00:02:58
4741000|0.0|1|2024-04-29 00:02:58
4742000|0.0094|1|2024-04-29 00:02:58
4743000|0.001|1|2024-04-29 00:02:58
4744000|1.0009|1|2024-04-29 00:02:58
4745000|5.0398|1|2024-04-29 00:02:58
4740000|2.2266|0|2024-04-29 00:03:03
4739000|1.0964|0|2024-04-29 00:03:03
4738000|0.0575|0|2024-04-29 00:03:03
4737000|16.3357|0|2024-04-29 00:03:03
4736000|1.0|0|2024-04-29 00:03:03
4741000|0.0|1|2024-04-29 00:03:03
4742000|0.0094|1|2024-04-29 00:03:03
4743000|0.001|1|2024-04-29 00:03:03
4744000|1.0009|1|2024-04-29 00:03:03
4745000|5.0398|1|2024-04-29 00:03:03
4740000|2.2266|0|2024-04-29 00:03:08
4739000|16.0964|0|2024-04-29 00:03:08
4738000|0.3355|0|2024-04-29 00:03:08
4737000|1.0|0|2024-04-29 00:03:08
4736000|1.0|0|2024-04-29 00:03:08
4741000|0.0|1|2024-04-29 00:03:08
4742000|0.0094|1|2024-04-29 00:03:08
4743000|0.001|1|2024-04-29 00:03:08
4744000|1.0009|1|2024-04-29 00:03:08
4745000|1.4798|1|2024-04-29 00:03:08
4740000|2.1057|0|2024-04-29 00:03:13
4739000|2.302|0|2024-04-29 00:03:13
4738000|15.3357|0|2024-04-29 00:03:13
4737000|2.895|0|2024-04-29 00:03:13
4736000|1.4479|0|2024-04-29 00:03:13
4744000|0.9123|1|2024-04-29 00:03:13
4745000|2.9196|1|2024-04-29 00:03:13
4746000|18.6642|1|2024-04-29 00:03:13
4747000|0.0074|1|2024-04-29 00:03:13
4748000|4.4276|1|2024-04-29 00:03:13
4740000|1.4577|0|2024-04-29 00:03:18
4739000|3.1914|0|2024-04-29 00:03:18
4738000|16.2057|0|2024-04-29 00:03:18
4737000|2.895|0|2024-04-29 00:03:18
4736000|1.7835|0|2024-04-29 00:03:18
4744000|0.8557|1|2024-04-29 00:03:18
4745000|1.9196|1|2024-04-29 00:03:18
4746000|18.6622|1|2024-04-29 00:03:18
4747000|3.0074|1|2024-04-29 00:03:18
4748000|5.4276|1|2024-04-29 00:03:18
4740000|1.521|0|2024-04-29 00:03:23
4739000|4.223|0|2024-04-29 00:03:23
4738000|3.4335|0|2024-04-29 00:03:23
4737000|18.2304|0|2024-04-29 00:03:23
4736000|1.0|0|2024-04-29 00:03:23
4743000|3.0|1|2024-04-29 00:03:23
4744000|0.8557|1|2024-04-29 00:03:23
4745000|1.9196|1|2024-04-29 00:03:23
4746000|18.6622|1|2024-04-29 00:03:23
4747000|3.0074|1|2024-04-29 00:03:23
4740000|1.521|0|2024-04-29 00:03:28
4739000|1.0857|0|2024-04-29 00:03:28
4738000|3.4335|0|2024-04-29 00:03:28
4737000|16.3354|0|2024-04-29 00:03:28
4736000|1.0|0|2024-04-29 00:03:28
4743000|3.0|1|2024-04-29 00:03:28
4744000|0.8557|1|2024-04-29 00:03:28
4745000|1.9196|1|2024-04-29 00:03:28
4746000|18.6622|1|2024-04-29 00:03:28
4747000|3.0074|1|2024-04-29 00:03:28
4741000|3.1372|0|2024-04-29 00:03:33
4740000|17.7263|0|2024-04-29 00:03:33
4739000|1.4211|0|2024-04-29 00:03:33
4738000|2.2278|0|2024-04-29 00:03:33
4737000|1.0|0|2024-04-29 00:03:33
4743000|2.1843|1|2024-04-29 00:03:33
4744000|0.8557|1|2024-04-29 00:03:33
4745000|0.4798|1|2024-04-29 00:03:33
4746000|3.6622|1|2024-04-29 00:03:33
4747000|3.0054|1|2024-04-29 00:03:33
4741000|1.0311|0|2024-04-29 00:03:38
4740000|3.6275|0|2024-04-29 00:03:38
4739000|1.0857|0|2024-04-29 00:03:38
4738000|2.2278|0|2024-04-29 00:03:38
4737000|15.3354|0|2024-04-29 00:03:38
4743000|2.0169|1|2024-04-29 00:03:38
4744000|2.2825|1|2024-04-29 00:03:38
4745000|13.0621|1|2024-04-29 00:03:38
4746000|3.6622|1|2024-04-29 00:03:38
4747000|3.0074|1|2024-04-29 00:03:38
4741000|1.0311|0|2024-04-29 00:03:43
4740000|0.0632|0|2024-04-29 00:03:43
4739000|3.1922|0|2024-04-29 00:03:43
4738000|2.2278|0|2024-04-29 00:03:43
4736000|16.5423|0|2024-04-29 00:03:43
4743000|5.5119|1|2024-04-29 00:03:43
4744000|2.2825|1|2024-04-29 00:03:43
4745000|19.6221|1|2024-04-29 00:03:43
4746000|4.1022|1|2024-04-29 00:03:43
4747000|4.0054|1|2024-04-29 00:03:43
4740000|0.0632|0|2024-04-29 00:03:48
4739000|2.7515|0|2024-04-29 00:03:48
4738000|2.2278|0|2024-04-29 00:03:48
4737000|0.0833|0|2024-04-29 00:03:48
4736000|16.9847|0|2024-04-29 00:03:48
4743000|6.9387|1|2024-04-29 00:03:48
4744000|0.8557|1|2024-04-29 00:03:48
4745000|19.6221|1|2024-04-29 00:03:48
4746000|4.1022|1|2024-04-29 00:03:48
4747000|5.6658|1|2024-04-29 00:03:48
4740000|0.0566|0|2024-04-29 00:03:53
4739000|2.7515|0|2024-04-29 00:03:53
4738000|2.2278|0|2024-04-29 00:03:53
4736000|0.5258|0|2024-04-29 00:03:53
4735000|16.5467|0|2024-04-29 00:03:53
4743000|6.8529|1|2024-04-29 00:03:53
4744000|3.8557|1|2024-04-29 00:03:53
4745000|20.6221|1|2024-04-29 00:03:53
4746000|4.1022|1|2024-04-29 00:03:53
4747000|15.4528|1|2024-04-29 00:03:53
4740000|0.0566|0|2024-04-29 00:03:58
4739000|2.1065|0|2024-04-29 00:03:58
4738000|2.2278|0|2024-04-29 00:03:58
4736000|0.5258|0|2024-04-29 00:03:58
4735000|15.3402|0|2024-04-29 00:03:58
4741000|3.56|1|2024-04-29 00:03:58
